			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	0,86		20,52	97,52	99,66	30,02	156,89	159,73	14,41	77,19	78,52	1,38	79,17		5	97,75	0,05	0,75	7,39	0,00	1,22	15,58		""	""	""		"#N/A"	"#N/A"	77		99,64	109,27
0,01	0,87		20,13	95,38	97,48	30,22	157,84	160,71	14,72	78,76	80,13	1,38	79,16		5	96,25	0,05	0,75	7,39	0,00	1,22	15,77		""	""	""		"#N/A"	"#N/A"	79		97,46	107,10
0,01	0,88		19,73	93,24	95,30	30,42	158,77	161,66	15,02	80,35	81,74	1,38	79,15		5	94,75	0,05	0,75	7,39	0,00	1,22	15,95		""	""	""		"#N/A"	"#N/A"	80		95,28	104,92
0,01	0,89		19,33	91,10	93,13	30,61	159,68	162,59	15,32	81,94	83,36	1,38	79,15		5	93,25	0,04	0,75	7,38	0,00	1,22	16,13		""	""	""		"#N/A"	"#N/A"	82		93,11	102,74
0,01	0,90		18,93	88,96	90,95	30,80	160,57	163,50	15,63	83,54	84,99	1,38	79,14		5	91,75	0,04	0,75	7,38	0,00	1,21	16,31		""	""	""		"#N/A"	"#N/A"	84		90,93	100,57
0,01	0,91		18,53	86,82	88,78	30,99	161,44	164,39	15,94	85,15	86,63	1,38	79,14		5	90,25	0,04	0,75	7,37	0,00	1,21	16,48		""	""	""		"#N/A"	"#N/A"	85		88,76	98,39
0,01	0,92		18,14	84,68	86,60	31,17	162,29	165,25	16,25	86,77	88,28	1,38	79,13		5	88,75	0,04	0,75	7,37	0,00	1,21	16,66		""	""	""		"#N/A"	"#N/A"	87		86,58	96,22
0,01	0,93		17,74	82,55	84,43	31,34	163,11	166,10	16,56	88,40	89,93	1,38	79,12		5	87,25	0,04	0,75	7,36	0,00	1,21	16,82		""	""	""		"#N/A"	"#N/A"	88		84,41	94,04
0,01	0,94		17,34	80,41	82,26	31,52	163,92	166,92	16,88	90,03	91,60	1,38	79,12		5	85,75	0,04	0,75	7,36	0,00	1,21	16,99		""	""	""		"#N/A"	"#N/A"	90		82,24	91,87
0,01	0,95		8,63	35,05	36,10	31,60	164,27	167,28	17,19	91,67	93,27	1,38	79,11		7	51,25	0,02	0,75	7,36	0,00	1,21	17,06		""	""	""		"#N/A"	"#N/A"	92		36,05	45,68
0,01	0,96		-4,30	-32,15	32,43	31,56	163,95	166,96	17,51	93,31	94,94	1,38	79,10		22	0,00	0,00	0,75	7,36	0,00	1,21	16,99		"Fin de propulsion"	""	""		"#N/A"	"#N/A"	93		-32,38	-22,75
0,01	0,97		-4,28	-32,06	32,34	31,52	163,63	166,63	17,82	94,95	96,61	1,38	79,10		22	0,00	0,00	0,75	7,36	0,00	1,21	16,92		""	""	""		"#N/A"	"#N/A"	95		-32,29	-22,65
0,01	0,98		-4,27	-31,97	32,25	31,48	163,31	166,31	18,14	96,58	98,27	1,38	79,09		22	0,00	0,00	0,75	7,36	0,00	1,21	16,85		""	""	""		"#N/A"	"#N/A"	97		-32,20	-22,56
0,01	0,99		-4,25	-31,88	32,16	31,43	162,99	165,99	18,45	98,22	99,94	1,38	79,08		22	0,00	0,00	0,75	7,36	0,00	1,21	16,79		""	""	""		"#N/A"	"#N/A"	98		-32,10	-22,47
0,01	1,00		-4,24	-31,79	32,07	31,39	162,67	165,67	18,77	99,84	101,59	1,38	79,08		22	0,00	0,00	0,75	7,36	0,00	1,21	16,72		""	""	""		1	19	100		-32,01	-22,38
0,01	1,01		-4,22	-31,70	31,98	31,35	162,35	165,35	19,08	101,47	103,25	1,38	79,07		22	0,00	0,00	0,75	7,36	0,00	1,21	16,65		""	""	""		"#N/A"	"#N/A"	101		-31,92	-22,29
0,01	1,02		-4,21	-31,61	31,89	31,31	162,04	165,03	19,40	103,09	104,90	1,38	79,06		22	0,00	0,00	0,75	7,36	0,00	1,21	16,58		""	""	""		"#N/A"	"#N/A"	103		-31,83	-22,20
0,01	1,03		-4,19	-31,52	31,80	31,26	161,72	164,72	19,71	104,71	106,55	1,38	79,06		22	0,00	0,00	0,75	7,36	0,00	1,21	16,52		""	""	""		"#N/A"	"#N/A"	105		-31,75	-22,11
0,01	1,04		-4,18	-31,43	31,71	31,22	161,41	164,40	20,02	106,33	108,19	1,38	79,05		22	0,00	0,00	0,75	7,36	0,00	1,21	16,45		""	""	""		"#N/A"	"#N/A"	106		-31,66	-22,02
